rumi	jawi
cabit	چابيت
cabu	چابو
cabuh	چابوه
cabuk	چابوق
cabul	چابول
bercabul	برچابول
dicabuli	دچابولي
kecabulan	کچابولن
mencabul	منچابول
mencabuli	منچابولي
pencabul	ڤنچابول
pencabulan	ڤنچابولن
percabulan	ڤرچابولن
tercabul	ترچابول
cabur	چابور
kecaburan	کچابورن
cabut	چابوت
bercabut	برچابوت
cabutan	چابوتن
dicabut	دچابوت
mencabut	منچابوت
mencabuti	منچابوتي
mencabutkan	منچابوتکن
pencabut	ڤنچابوت
pencabutan	ڤنچابوتن
tercabut	ترچابوت
caca	چاچ
cacah	چاچه
bercacah	برچاچه
cacahan	چاچهن
dicacah	دچاچه
mencacah	منچاچه
mencacah-cacah	منچاچه-چاچه
pencacah	ڤنچاچه
pencacahan	ڤنچاچهن
cacak	چاچق
dicacak	دچاچق
dicacakkan	دچاچقکن
mencacak	منچاچق
mencacakkan	منچاچقکن
pencacak	ڤنچاچق
tercacak	ترچاچق
cacal	چاچل
cacamarba	چاچامربا
cacamerba	چاچامربا
cacang	چاچڠ
cacap	چاچڤ
mencacap	منچاچڤ
mencacapi	منچاچڤي
cacar	چاچر
bercacar	برچاچر
mencacar	منچاچر
pencacaran	ڤنچاچرن
cacat	چاچت
bercacat	برچاچت
cacatan	چاچتن
kecacatan	کچاچتن
mencacat	منچاچت
mencacati	منچاچتي
mencacatkan	منچاچتکن
pencacat	ڤنچاچت
tercacat	ترچاچت
cacau	چاچاو
cacauan	چاچاوان
mencacau	منچاچاو
pencacau	ڤنچاچاو
caci	چاچي
bercaci-cacian	برچاچي-چاچين
cacian	چاچين
dicaci	دچاچي
mencaci	منچاچي
pencaci	ڤنچاچي
tercaci	ترچاچي
cacibar	چاچيبر
cacil	چاچيل
cacing	چاچيڠ
cacingan	چاچيڠن
mencacing	منچاچيڠ
cacir	چاچير
cadai	چاداي
mencadai	منچاداي
cadak	چادق
cadang	چادڠ
bercadang	برچادڠ
cadangan	چادڠن
dicadang	دچادڠ
dicadangkan	دچادڠکن
mencadangkan	منچادڠکن
pencadang	ڤنچادڠ
pencadangan	ڤنچادڠن
cadar	چادر
bercadar	برچادر
bercadarkan	برچادرکن
cadas	چادس
cadi	چادي
cadik	چاديق
cading	چاديڠ
cadir	چادير
cadu	چادو
caduk	چادوق
mencaduk	منچادوق
tercaduk	ترچادوق
cadung	چادوڠ
bercadung-cadung	برچادوڠ-چادوڠ
cadur	چادور
caga	چاݢ
cagak	چاݢق
bercagak	برچاݢق
mencagak	منچاݢق
mencagakkan	منچاݢقکن
tercagak	ترچاݢق
cagar	چاݢر
bercagar	برچاݢر
bercagaran	برچاݢرن
bercagarkan	برچاݢرکن
cagaran	چاݢرن
dicagarkan	دچاݢرکن
mencagarkan	منچاݢرکن
pencagar	ڤنچاݢر
pencagaran	ڤنچاݢرن
cagau	چاݢاو
cagu	چاݢو
caguk	چاݢوق
cagul	چاݢول
cagun	چاݢون
mencagun	منچاݢون
cagut	چاݢوت
mencagut	منچاݢوت
cah	چه
cahang	چاهڠ
cahar	چاهر
mencahar	منچاهر
pencahar	ڤنچاهر
cahaya	چهاي
bercahaya	برچهاي
bercahaya-cahaya	برچهايا-چهاي
dicahayai	دچهاياءي
mencahayai	منچهاياءي
mencahayakan	منچهاياکن
pencahayaan	ڤنچهاياءن
caik	چاءيق
caing	چاءيڠ
caing-caing	چاءيڠ٢
cuang-caing	چواڠ-چاءيڠ
mencaing-caing	منچاءيڠ-چاءيڠ
mencaingkan	منچاءيڠکن
caipo	چايڤو
cair	چاءير
cairan	چاءيرن
dicairkan	دچاءيرکن
kecairan	کچاءيرن
mencair	منچاءير
mencairkan	منچاءيرکن
pencair	ڤنچاءير
pencairan	ڤنچاءيرن
tercair	ترچاءير
cais	چاءيس
caj	چج
cak	چق
caka	چاک
cakah	چاکه
mencakah	منچاکه
cakai	چاکاي
cakak	چاکق
bercakak	برچاکق
pencakak	ڤنچاکق
cakal	چاکل
cakalele	چاکاليلي
cakam	چاکم
cakang	چاکڠ
cakap	چاکڤ
bercakap	برچاکڤ
bercakap-cakap	برچاکڤ-چاکڤ
dicakapkan	دچاکڤکن
cakapan	چاکڤن
kecakapan	کچاکڤن
mencakapkan	منچاکڤکن
mempercakap	ممڤرچاکڤ
mempercakapkan	ممڤرچاکڤکن
percakapan	ڤرچاکڤن
tercakap	ترچاکق
cakar	چاکر
bercakar	برچاکر
bercakaran	برچاکرن
bercakar-cakaran	برچاکر-چاکرن
dicakar	دچاکر
dicakar-cakar	دچاکر-چاکر
mencakar	منچاکر
pencakar	ڤنچاکر
percakaran	ڤرچاکرن
tercakar	ترچاکر
cakat	چاکت
cakatan	چاکتن
cakau	چاکاو
cakawari	چکاواري
cakdik	چقديق
cakela	چکلا
cakera	چکرا
cakeram	چکرم
cakerawala	چکراوالا
bercakerawala	برچکراوالا
cakerawati	چکراواتي
cakiah	چاکياه
cakil	چاکيل
caking	چاکيڠ
cakla	چقلا
caklempong	چقليمڤوڠ
cakmau	چقماو
cakna	چقنا
cakoi	چاکوي
cakruk	چاکروق
caktai	چقتاي
caku	چاکو
cakuk	چاکوق
cakung	چاکوڠ
cakup	چاکوڤ
cakupan	چاکوڤن
dicakupi	دچاکوڤي
mencakup	منچاکوڤ
mencakup-cakup	منچاکوڤ-چاکوڤ
mencakupi	منچاکوڤي
mencakupkan	منچاکوڤکن
pencakup	ڤنچاکوڤ
tercakup	ترچاکوڤ
cakus	چاکوس
mencakus	منچاکوس
cala	چالا
calabikang	چلابيکڠ
calak	چالق
mencalak	منچالق
calang	چالڠ
calang-calang	چالڠ٢
calar	چالر
bercalar	برچالر
calar-balar	چالر-بالر
dicalarkan	دچالرکن
mencalarkan	منچالرکن
mencalar-balarkan	منچالر-بالرکن
tercalar	ترچالر
calat	چالت
mencalat	منچالت
calet	چاليت
calik	چاليق
bercalik-calikan	برچاليق-چاليقن
mencalik	منچاليق
pencalikan	ڤنچاليقن
caling	چاليڠ
calir	چالير
calit	چاليت
bercalit	برچاليت
dicalit	دچاليت
mencalit	منچاليت
mencalitkan	منچاليتکن
tercalit	ترچاليت
calo	چالو
calon	چالون
dicalonkan	دچالونکن
mencalonkan	منچالونکن
pencalon	ڤنچالون
pencalonan	ڤنچالونن
calu	چالو
calui	چالوءي
caluk	چالوق
calun	چالون
calung	چالوڠ
calus	چالوس
cam	چم
dicamkan	دچمکن
mengecam	مڠچم
mengecamkan	مڠچمکن
pengecaman	ڤڠچمن
camang	چامڠ
camar	چامر
camas	چامس
camat	چامت
kecamatan	کچامتن
camau	چاماو
cambah	چمبه
bercambah	برچمبه
cambahan	چمبهن
dicambahkan	دچمبهکن
kecambah	کچمبه
mencambahkan	منچمبهکن
pencambahan	ڤنچمبهن
percambahan	ڤرچمبهن
cambai	چمباي
cambak	چمبق
cambang	چامبڠ
bercambang	برچامبڠ
cambir	چمبير
cambis	چمبيس
cambuk	چمبوق
mencambuk	منچمبوق
mencambuki	منچمبوقي
pencambukan	ڤنچمبوقن
cambul	چامبول
cambung	چامبوڠ
cambur	چمبور
cambut	چمبوت
camca	چمچا
camcauh	چمچاءوه
camdik	چمديق
camik	چاميق
camin	چامين
caming	چاميڠ
campa	چمڤا
campadang	چمڤادڠ
campaga	چمڤاݢ
campah	چمڤه
campai	چمڤاي
campak	چامڤق
dicampakkan	دچامڤقکن
mencampak	منچامڤق
mencampaki	منچامڤقي
mencampakkan	منچامڤقکن
tercampak	ترچامڤق
campang	چمڤڠ
bercampang	برچمڤڠ
mencampang	منچمڤڠ
campar	چمڤر
camparingat	چمڤاريڠت
campelu	چمڤلو
campin	چمڤين
secampin	سچمڤين
camping	چمڤيڠ
campung	چامڤوڠ
mencampung	منچامڤوڠ
tercampung	ترچامڤوڠ
campur	چمڤور
bercampur	برچمڤور
bercampuran	برچمڤورن
bercampur-campur	برچمڤور-چمڤور
campuran	چمڤورن
dicampur	دچمڤور
dicampuri	دچمڤوري
dicampurkan	دچمڤورکن
mencampur	منچمڤور
mencampuri	منچمڤوري
mencampurkan	منچمڤورکن
pencampuran	ڤنچمڤورن
percampuran	ڤرچمڤورن
tercampur	ترچمڤور
camti	چمتي
camuk	چاموق
bercamuk	برچاموق
kecamukan	کچاموقن
mencamuk	منچاموق
camur	چامور
mencamurkan	منچامورکن
can	چن
bercan	برچن
cana	چان
canai	چاناي
bercanai	برچاناي
canaian	چاناين
dicanai	دچاناي
mencanai	منچاناي
pencanai	ڤنچاناي
pencanaian	ڤنچاناين
tercanai	ترچاناي
canak	چانق
mencanak	منچانق
canang	چانڠ
dicanangkan	دچانڠکن
mencanangkan	منچانڠکن
pencanang	ڤنچانڠ
tercanang	ترچانڠ
canar	چانر
cancang	چانچڠ
mencancang	منچانچڠ
tercancang	ترچانچڠ
cancir	چنچير
cancut	چنچوت
bercancut	برچنچوت
mencancutkan	منچنچوتکن
canda	چندا
bercanda	برچندا
candai	چنداي
candak	چندق
candakia	چنداکيا
candal	چندل
candan	چندن
candang	چندڠ
candapeti	چنداڤتي
candara	چندارا
candarasa	چنداراس
candas	چندس
candat	چندت
mencandat	منچندت
candawara	چنداوارا
candera	چندرا
candelier	چنديليئر
candi	چندي
percandian	ڤرچندين
candik	چنديق
candit	چنديت
candu	چندو
kecanduan	کچندوان
mencandu	منچندو
mencandui	منچندوءي
pencandu	ڤنچندو
percanduan	ڤرچندوان
canduk	چندوق
candung	چندوڠ
candupeti	چندوڤتي
cang	چڠ
cangah	چاڠه
bercangah	برچاڠه
bercangahan	برچاڠهن
mencangah	منچاڠه
tercangah	ترچاڠه
cangak	چاڠق
mencangak	منچاڠق
tercangak-cangak	ترچاڠق-چاڠق
cangal	چاڠل
cangap	چاڠڤ
cangcang	چڠچڠ
mencangcang	منچڠچڠ
cangerai	چڠراي
cangga	چڠݢ
canggaan	چڠݢاءن
canggah	چڠݢه
bercanggah	برچڠݢه
bercanggahan	برچڠݢهن
mencanggah	منچڠݢه
mencanggahi	منچڠݢهي
percanggahan	ڤرچڠݢهن
canggai	چڠݢاي
canggal	چڠݢل
canggih	چڠݢيه
kecanggihan	کچڠݢيهن
mencanggihkan	منچڠݢيهکن
pencanggihan	ڤنچڠݢيهن
secanggih	سچڠݢيه
tercanggih	ترچڠݢيه
canggik	چڠݢيق
canggit	چڠݢيت
canggu	چڠݢو
cangguk	چڠݢوق
canggung	چڠݢوڠ
kecanggungan	کچڠݢوڠن
mencanggungkan	منچڠݢوڠکن
tercanggung	ترچڠݢوڠ
canggut	چڠݢوت
cangip	چاڠيڤ
cangit	چاڠيت
cangkai	چڠکاي
cangkal	چڠکل
cangkaliwang	چڠکاليواڠ
bercangkaliwang	برچڠکاليواڠ
cangkan	چڠکن
cangkang	چڠکڠ
cangkas	چڠکس
cangkat	چڠکت
cangkau	چڠکاو
cangkel	چڠکيل
mencangkelkan	منچڠکيلکن
cangkelong	چڠکلوڠ
cangkerang	چڠکرڠ
cangkering	چڠکريڠ
cangkih	چڠکيه
cangkih-mangkih	چڠکيه-مڠکيه
cangking	چاڠکيڠ
cangkingan	چاڠکيڠن
mencangking	منچاڠکيڠ
cangkir	چاڠکير
cangkis	چڠکيس
cangkoi	چڠکوي
cangkriman	چڠکريمن
cangku	چڠکو
cangkuk	چاڠکوق
bercangkuk	برچاڠکوق
cangkukan	چاڠکوقن
dicangkuk	دچاڠکوق
mencangkuk	منچاڠکوق
mencangkukkan	منچاڠکوقکن
pencangkuk	ڤنچاڠکوق
tercangkuk	ترچاڠکوق
cangkul	چڠکول
dicangkul	دچڠکول
mencangkul	منچڠکول
mencangkuli	منچڠکولي
tercangkul	ترچڠکول
cangkum	چڠکوم
mencangkum	منچڠکوم
cangkung	چاڠکوڠ
bercangkung	برچاڠکوڠ
mencangkung	منچاڠکوڠ
tercangkung	ترچاڠکوڠ
cangkup	چڠکوڤ
mencangkup	منچڠکوڤ
cangkur	چڠکور
cangluk	چڠلوق
canguk	چاڠوق
mencanguk	منچاڠوق
tercanguk	ترچاڠوق
cangut	چاڠوت
canigara	چنيݢارا
canis	چانيس
canit	چانيت
canseleri	چنسلري
canselor	چنسلور
canselori	چنسلوري
cantas	چنتس
bercantas	برچنتس
cantasan	چنتسن
dicantas	دچنتس
mencantas	منچنتس
pencantas	ڤنچنتس
pencantasan	ڤنچنتسن
tercantas	ترچنتس
cantel	چنتيل
cantelan	چنتيلن
mencantelkan	منچنتيلکن
cantengan	چنتڠن
canterik	چنتريق
cantik	چنتيق
bercantik-cantik	برچنتيق-چنتيق
dicantikkan	دچنتيقکن
kecantikan	کچنتيقن
mempercantik	ممڤرچنتيق
mencantikkan	منچنتيقکن
pencantik	ڤنچنتيق
secantik	سچنتيق
tercantik	ترچنتيق
cantil	چنتيل
canting	چنتيڠ
canting-canting	چنتيڠ٢
mencanting	منچنتيڠ
cantir	چنتير
cantis	چنتيس
cantis-cantis	چنتيس٢
cantol	چنتول
mencantol	منچنتول
mencantoli	منچنتولي
cantum	چنتوم
bercantum	برچنتوم
cantuman	چنتومن
dicantum	دچنتوم
dicantumkan	دچنتومکن
mencantum	منچنتوم
mencantumkan	منچنتومکن
percantuman	ڤرچنتومن
tercantum	ترچنتوم
cantun	چنتون
cantung	چانتوڠ
canu	چانو
cap	چڤ
bercap	برچڤ
cap-mengecap	چڤ-مڠچڤ
dicap	دچڤ
mengecap	مڠچڤ
mengecapkan	مڠچڤکن
pengecap	ڤڠچڤ
pengecapan	ڤڠچڤن
tercap	ترچڤ
capa	چاڤ
capah	چاڤه
mencapah	منچاڤه
pencapahan	ڤنچاڤهن
capai	چاڤاي
capaian	چاڤاين
dicapai	دچاڤاي
kecapaian	کچاڤاين
mencapai	منچاڤاي
pencapai	ڤنچاڤاي
pencapaian	ڤنچاڤاين
sepencapai	سڤنچاڤاي
tercapai	ترچاڤاي
capak	چاڤق
mencapak	منچاڤق
mencapak-capak	منچاڤق-چاڤق
mempercapak	ممڤرچاڤق
tercapak	ترچاڤق
capal	چاڤل
capang	چاڤڠ
capar	چاڤر
capat	چاڤت
capati	چڤاتي
capau	چاڤاو
capcai	چڤچاي
capcap	چڤچڤ
capcibar	چڤچيبر
capcup	چڤچوڤ
capek	چاڤيق
capelak	چڤلق
capelin	چڤلين
capelus	چڤلوس
caperon	چاڤرون
capgome	چڤݢومي
capi	چاڤي
capiau	چاڤياو
capik	چاڤيق
kecapikan	کچاڤيقن
mencapikkan	منچاڤيقکن
tercapik-capik	ترچاڤيق-چاڤيق
capil	چاڤيل
caping	چاڤيڠ
capit	چاڤيت
capjiki	چڤجيکي
caplak	چاڤلق
caplok	چاڤلوق
dicaplok	دچاڤلوق
mencaplok	منچاڤلوق
pencaplok	ڤنچاڤلوق
pencaplokan	ڤنچاڤلوقن
capu	چاڤو
capuk	چاڤوق
bercapuk	برچاڤوق
bercapuk-capuk	برچاڤوق-چاڤوق
mencapukkan	منچاڤوقکن
capul	چاڤول
cara	چارا
cara-cara	چارا٢
secara	سچارا
carah	چاره
bercarah	برچاره
mencarah	منچاره
mencarahkan	منچارهکن
carai	چاراي
carak	چارق
mencarak	منچارق
caram	چارم
caran	چارن
bercaran	برچارن
carang	چارڠ
bercarang	برچارڠ
bercarang-carang	برچارڠ-چارڠ
mencarang	منچارڠ
carap	چارڤ
carat	چارت
carbi	چربي
carca	چرچا
cari	چاري
bercari	برچاري
bercari-cari	برچاري-چاري
bercari-carian	برچاري-چارين
carian	چارين
dicari	دچاري
mencari	منچاري
mencari-cari	منچاري-چاري
mencarikan	منچاريکن
pencari	ڤنچاري
pencarian	ڤنچارين
sepencarian	سڤنچارين
tercari	ترچاري
tercari-cari	ترچاري-چاري
carik	چاريق
bercarik-carik	برچاريق-چاريق
carik-serenyih	چاريق-سرڽيه
carikan	چاريقن
dicarik	دچاريق
dicarik-carik	دچاريق-چاريق
mencarik	منچاريق
mencarik-carik	منچاريق-چاريق
mencarik-carikkan	منچاريق-چاريقکن
mencarikkan	منچاريقکن
tercarik	ترچاريق
caring	چاريڠ
mencaring	منچاريڠ
carip	چاريڤ
caroi	چاروي
carta	چرتا
mencartakan	منچرتاکن
pencarta	ڤنچرتا
pencartaan	ڤنچرتاءن
carter	چرتر
cartis	چرتيس
cartisme	چرتسمى
caru	چارو
caruh	چاروه
caruk	چاروق
bercaruk	برچاروق
dicaruk	دچاروق
mencaruk	منچاروق
carum	چاروم
bercarum	برچاروم
caruman	چارومن
dicarum	دچاروم
mencarum	منچاروم
mencarumkan	منچارومکن
pencarum	ڤنچاروم
pencaruman	ڤنچارومن
carup	چاروڤ
carut	چاروت
bercarut	برچاروت
bercarut-carut	برچاروت-چاروت
carut-capai	چاروت-چاڤاي
carut-marut	چاروت-ماروت
carutan	چاروتن
dicaruti	دچاروتي
mempercaruti	ممڤرچاروتي
mencarut	منچاروت
mencarut-carut	منچاروت-چاروت
pencarut	ڤنچاروت
cas	چس
bercas	برچس
dicas	دچس
mengecas	مڠچس
mengecaskan	مڠچسکن
pengecas	ڤڠچس
pengecasan	ڤڠچسن
casis	چاسيس
casmah	چسمه
cat	چت
catan	چتن
dicat	دچت
mengecat	مڠچت
pengecat	ڤڠچت
pengecatan	ڤڠچتن
tercat	ترچت
catak	چاتق
catang	چاتڠ
catar	چاتر
catas	چاتس
catat	چاتت
catatan	چاتتن
dicatat	دچاتت
mencatat	منچاتت
mencatatkan	منچاتتکن
pencatat	ڤنچاتت
pencatatan	ڤنچاتتن
tercatat	ترچاتت
catik	چاتيق
catit	چاتيت
cato	چاتو
catu	چاتو
bercatu	برچاتو
catuan	چاتوان
dicatu	دچاتو
mencatu	منچاتو
mencatukan	منچاتوکن
pencatuan	ڤنچاتوان
catuh	چاتوه
catuk	چاتوق
dicatuk	دچاتوق
mencatuk	منچاتوق
tercatuk	ترچاتوق
catung	چاتوڠ
catur	چاتور
bercatur	برچاتور
caturan	چاتورن
mempercaturkan	ممڤرچاتورکن
mencatur	منچاتور
percaturan	ڤرچاتورن
catus	چاتوس
catut	چاتوت
catutan	چاتوتن
dicatut	دچاتوت
mencatut	منچاتوت
pencatut	ڤنچاتوت
pencatutan	ڤنچاتوتن
cau	چاو
cauk	چاءوق
caul	چاءول
caung	چاءوڠ
caus	چاءوس
cauvinis	چاوۏينيس
cauvinisme	چاوۏينيسمى
cawak	چاوق
bercawak	برچاوق
cawan	چاون
cawang	چاوڠ
cawangan	چاوڠن
pencawang	ڤنچاوڠ
cawas	چاوس
mencawas	منچاوس
cawat	چاوت
bercawat	برچاوت
mencawatkan	منچاوتکن
cawi	چاوي
cawi-cawi	چاوي٢
cawis	چاويس
bercawis	برچاويس
cayah	چايه
cayu	چايو
cayus	چايوس
cebadak	چبادق
cebak	چبق
cebakan	چبقن
dicebak	دچبق
mencebak	منچبق
pencebak	ڤنچبق
pencebakan	ڤنچبقن
percebakan	ڤرچبقن
cebak-cebuk	چبق-چبوق
ceban	چبن
cebar-cebur	چبر-چبور
cebeh	چيبيه
cebek	چيبيق
mencebek	منچيبيق
cebelus	چبلوس
mencebeluskan	منچبلوسکن
tercebelus	ترچبلوس
ceber	چيبير
menceber	منچيبير
menceberkan	منچيبيرکن
cebet	چيبيت
mencebet	منچيبيت
cebiak	چبياق
cebik	چبيق
cebikan	چبيقن
cebik-cebai	چبيق-چباي
dicebik	دچبيق
mencebik	منچبيق
mencebikkan	منچبيقکن
tercebik-cebik	ترچبيق-چبيق
cebil	چبيل
cebir	چبير
mencebir	منچبير
secebir	سچبير
cebis	چبيس
cebisan	چبيسن
mencebis	منچبيس
secebis	سچبيس
ceblik	چبليق
cebok	چيبوق
bercebok	برچيبوق
dicebok	دچيبوق
mencebok	منچيبوق
menceboki	منچيبوقي
cebol	چيبول
cebong	چيبوڠ
cebubung	چبوبوڠ
cebur	چبور
diceburi	دچبوري
mencebur	منچبور
menceburi	منچبوري
menceburkan	منچبورکن
penceburan	ڤنچبورن
tercebur	ترچبور
cecadu	چچادو
cecah	چچه
bercecah	برچچه
dicecah	دچچه
dicecahi	دچچهي
dicecahkan	دچچهکن
mencecah	منچچه
mencecahkan	منچچهکن
sececah	سچچه
tercecah	ترچچه
cecair	چچاءير
mencecairkan	منچچاءيرکن
pencecairan	ڤنچچاءيرن
cecak	چچق
mencecak	منچچق
pencecak	ڤنچچق
cecakup	چچکوڤ
cecap	چچڤ
dicecap	دچچڤ
mencecap	منچچڤ
mencecapi	منچچڤي
cecar	چچار
mencecar	منچچار
cecarik	چچاريق
cecaru	چچارو
cecawi	چچاوي
cece	چيچي
ceceh	چيچيه
menceceh	منچيچيه
cecekik	چچکيق
ceceng	چيچيڠ
cecentung	چچنتوڠ
cecepu	چچڤو
cecer	چيچير
cecereh	چچيريه
cecerek	چچيريق
cecerong	چچيروڠ
cecewe	چچيوي
ceciah	چچياه
ceciak	چچياق
cecibang	چچيبڠ
cecibar	چچيبر
cecicak	چچيچق
cecincin	چچينچين
cecodot	چچودوت
cecok	چيچوق
cecolek	چچوليق
cecongor	چچوڠور
cecumit	چچوميت
cecunda	چچوندا
cecunguk	چچوڠوق
cecuri	چچوري
cedak	چدق
cedas	چدس
cedaya	چداي
cedera	چدرا
bercedera	برچدرا
dicederakan	دچدراکن
kecederaan	کچدراءن
mencedera	منچدرا
mencederakan	منچدراکن
pencederaan	ڤنچدراءن
percederaan	ڤرچدراءن
tercedera	ترچدرا
ceding	چديڠ
cedok	چيدوق
cedokan	چيدوقن
dicedok	دچيدوق
mencedok	منچيدوق
pencedok	ڤنچيدوق
pencedokan	ڤنچيدوقن
cedong	چيدوڠ
ceduk	چدوق
cedung	چدوڠ
mencedung	منچدوڠ
cef	چيف
cega	چيݢ
bercega	برچيݢ
mencega	منچيݢ
cegah	چݢه
cegahan	چݢهن
dicegah	دچݢه
mencegah	منچݢه
pencegah	ڤنچݢه
pencegahan	ڤنچݢهن
tercegah	ترچݢه
cegak	چݢق
cegak	چيݢق
cegar	چݢر
cegas	چݢس
cegat	چݢت
mencegat	منچݢت
pencegatan	ڤنچݢتن
tercegat	ترچݢت
tercegat-cegat	ترچݢت-چݢت
ceguk	چݢوق
ceh	چيه
cehari	چهاري
cek	چيک
ceka	چکا
menceka	منچکا
cekah	چکه
bercekah	برچکه
dicekah	دچکه
mencekah	منچکه
cekak	چکق
bercekak	برچکق
dicekak	دچکق
mencekak	منچکق
secekak	سچکق
cekal	چکل
cekalan	چکلن
kecekalan	کچکلن
mencekal	منچکل
mencekalkan	منچکلکن
cekalang	چکالڠ
cekalung	چکالوڠ
cekam	چکم
cekaman	چکمن
dicekam	دچکم
mencekam	منچکم
tercekam	ترچکم
cekang	چکڠ
cekap	چکڤ
bercekap	برچکڤ
kecekapan	کچکڤن
mencekapkan	منچکڤکن
mempercekap	ممڤرچکڤ
secekap	سچکڤ
tercekap	ترچکڤ
cekar	چکر
mencekar	منچکر
cekara	چکارا
cekarau	چکاراو
cekarung	چکاروڠ
cekas	چکس
cekat	چکت
cekatan	چکاتن
kecekatan	کچکاتن
cekati	چکاتي
cekau	چکاو
dicekau	دچکاو
mencekau	منچکاو
cekcok	چيقچوق
bercekcok	برچيقچوق
mempercekcokan	ممڤرچيقچوقکن
percekcokan	ڤرچيقچوقن
cekel	چکل
cekel	چيکيل
ceker	چيکير
menceker	منچيکير
cekera	چکرا
cekerau	چکراو
cekerang	چکرڠ
cekering	چکريڠ
ceketing	چکتيڠ
ceki	چکي
cekiak	چکياق
cekibar	چکيبر
cekih	چکيه
mencekih	منچکيه
tercekih	ترچکيه
cekik	چکيق
cekikan	چکيقن
cekik-cekik	چکيق٢
dicekik	دچکيق
mempercekikkan	ممڤرچکيقکن
mencekik	منچکيق
pencekik	ڤنچکيق
tercekik	ترچکيق
ceking	چکيڠ
cekit	چکيت
mencekit	منچکيت
cekodok	چکودوق
cekram	چکرم
ceku	چکو
menceku	منچکو
mencekukan	منچکوکن
cekuak	چکواق
cekuari	چکواري
cekuh	چکوه
mencekuh	منچکوه
cekuk	چکوق
mencekuk	منچکوق
mencekukkan	منچکوقکن
cekung	چکوڠ
cekup	چکوڤ
dicekup	دچکوڤ
mencekup	منچکوڤ
tercekup	ترچکوڤ
cekur	چکور
cekurung	چکوروڠ
cekut	چکوت
mencekut	منچکوت
secekut	سچکوت
cela	چلا
cela	چيلا
bercela	برچلا
berkecelaan	برکچلاءن
celaan	چلاءن
cela-mencela	چلا-منچلا
dicela	دچلا
kecelaan	کچلاءن
mencela	منچلا
pencela	ڤنچلا
pencelaan	ڤنچلاءن
tercela	ترچلا
celabir	چلابير
celabikang	چلابيکڠ
celadak	چلادق
celadang	چلادڠ
celadi	چلادي
celaga	چلاݢ
celagah	چلاݢه
celagi	چلاݢي
celaguri	چلاݢوري
celah	چله
bercelah	برچله
dicelah	دچله
mencelah	منچله
mencelah-celah	منچله-چله
mencelahi	منچلهي
celak	چلق
celak	چيلق
bercelak	برچلق
bercelak	برچيلق
dicelak	دچلق
mencelak	منچلق
mencelak	منچيلق
mencelaki	منچلقي
tercelak	ترچيلق
celaka	چلاک
kecelakaan	کچلاکاءن
mencelakai	منچلاکاءي
mencelakakan	منچلاکاکن
celakuti	چلاکوتي
celalongan	چلالوڠن
celam-celum	چلم-چلوم
celampak	چلمڤق
mencelampakkan	منچلمڤقکن
celampus	چلمڤوس
celana	چلان
bercelana	برچلان
celanat	چلانت
celang	چلڠ
mencelang	منچلڠ
mencelangkan	منچلڠکن
celangak	چلاڠق
mencelangakkan	منچلاڠقکن
celangap	چلاڠڤ
celap	چلڤ
celapa	چلاڤ
celapah	چلاڤه
celapak	چلاڤق
mencelapaki	منچلاڤقي
mencelapakkan	منچلاڤقکن
tercelapak	ترچلاڤق
celapeta	چلاڤيتا
celapik	چلاڤيق
celaping	چلاڤيڠ
celar	چلر
celarai	چلاراي
celari	چلاري
celarik	چلاريق
celaring	چلاريڠ
celaru	چلارو
bercelaru	برچلارو
dicelarukan	دچلاروکن
kecelaruan	کچلاروان
mencelarukan	منچلاروکن
tercelaru	ترچلارو
celarung	چلاروڠ
celarut	چلاروت
celas-celus	چلس-چلوس
celat	چلات
mencelat	منچلات
celatang	چلاتڠ
celatih	چلاتيه
celatik	چلاتيق
celatim	چلاتيم
celatu	چلاتو
celatuk	چلاتوق
bercelatuk	برچلاتوق
celau	چلاو
celawagi	چلاواݢي
celayut	چلايوت
cele	چيلي
celebingka	چلبيڠک
celebuk	چلبوق
celebur	چلبور
celedang-celedok	چليدڠ-چليدوق
celedok	چليدوق
celeguri	چلݢوري
celek	چلق
celek	چيليق
tercelek	ترچلق
celeka	چليک
celekati	چلکاتي
celekeh	چليکيه
celekoh	چليکوه
celekuk	چلکوق
celekung	چلکوڠ
celekuti	چلکوتي
celempong	چليمڤوڠ
celempung	چلمڤوڠ
mencelempung	منچلمڤوڠ
celen	چيلين
celeng	چيليڠ
celengan	چيليڠن
celengap	چلڠق
tercelengap	ترچلڠق
celengkak-celengkok	چليڠکق-چليڠکوق
celengkang-celengkok	چليڠکڠ-چليڠکوق
celengkoh	چليڠکوه
celengkok	چليڠکوق
celentang	چلنتڠ
celepa	چلڤا
celepak	چلڤق
celepam-celepum	چلڤم-چلڤوم
celepang	چلڤڠ
celepang-celepung	چلڤڠ-چلڤوڠ
celepek	چليڤيق
celepik	چلڤيق
celepuh	چلڤوه
celepuk	چلڤوق
celepung	چلڤوڠ
celeput	چلڤوت
celetuk	چلتوق
menceletuk	منچلتوق
celi	چلي
celicap	چليچڤ
celici	چليچي
celidup	چليدوڤ
celih	چليه
celik	چليق
dicelik	دچليق
kecelikan	کچليقن
mencelik	منچليق
mencelikkan	منچليقکن
tercelik	ترچليق
celiki	چليکي
celinang	چلينڠ
celinap	چلينڤ
celing	چليڠ
celinguk	چليڠوق
celis	چليس
mencelis	منچليس
celomes	چلوميس
celomok	چلوموق
